sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	Notes	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
EOL:328648	Equus caballus	RO:0002453	Host of	EOL:53326	Amblyomma		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:328663	Sus scrofa	RO:0002453	Host of	EOL:53326	Amblyomma		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:328699	Bos taurus	RO:0002453	Host of	EOL:53326	Amblyomma		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:4461296	Zygodontomys microtinus	RO:0002453	Host of	EOL:53326	Amblyomma		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:795987	Ameiva ameiva	RO:0002453	Host of	EOL:53326	Amblyomma		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:129539	Philander opossum	RO:0002453	Host of	EOL:515042	Amblyomma auricularium		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:328441	Sigmodon hispidus	RO:0002453	Host of	EOL:515042	Amblyomma auricularium		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:328482	Dasypus novemcinctus	RO:0002453	Host of	EOL:515042	Amblyomma auricularium		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:328504	Didelphis marsupialis	RO:0002453	Host of	EOL:515042	Amblyomma auricularium		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:328601	Nasua nasua	RO:0002453	Host of	EOL:515042	Amblyomma auricularium		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:328607	Canis familiaris	RO:0002453	Host of	EOL:515042	Amblyomma auricularium		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:1037712	Tayassu tajacu	RO:0002453	Host of	EOL:514380	Amblyomma cajennense		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:327955	Homo sapiens	RO:0002453	Host of	EOL:514380	Amblyomma cajennense		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:328482	Dasypus novemcinctus	RO:0002453	Host of	EOL:514380	Amblyomma cajennense		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:328504	Didelphis marsupialis	RO:0002453	Host of	EOL:514380	Amblyomma cajennense		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:328601	Nasua nasua	RO:0002453	Host of	EOL:514380	Amblyomma cajennense		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:328607	Canis familiaris	RO:0002453	Host of	EOL:514380	Amblyomma cajennense		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:328648	Equus caballus	RO:0002453	Host of	EOL:514380	Amblyomma cajennense		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:328663	Sus scrofa	RO:0002453	Host of	EOL:514380	Amblyomma cajennense		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:328699	Bos taurus	RO:0002453	Host of	EOL:514380	Amblyomma cajennense		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:129605	Mazama americana	RO:0002453	Host of	EOL:514399	Amblyomma calcaratum		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:328522	Choloepus hoffmanni	RO:0002453	Host of	EOL:514399	Amblyomma calcaratum		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:326582	Agouti paca	RO:0002453	Host of	EOL:514431	Amblyomma coelebs		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:328648	Equus caballus	RO:0002453	Host of	EOL:514431	Amblyomma coelebs		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:328663	Sus scrofa	RO:0002453	Host of	EOL:514431	Amblyomma coelebs		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:795987	Ameiva ameiva	RO:0002453	Host of	EOL:514548	Amblyomma dissimile		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:122355	Caluromys derbianus	RO:0002453	Host of	EOL:514662	Amblyomma geayi		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:129539	Philander opossum	RO:0002453	Host of	EOL:514662	Amblyomma geayi		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:328504	Didelphis marsupialis	RO:0002453	Host of	EOL:514662	Amblyomma geayi		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:328518	Bradypus infuscatus 	RO:0002453	Host of	EOL:514662	Amblyomma geayi		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:328522	Choloepus hoffmanni	RO:0002453	Host of	EOL:514662	Amblyomma geayi		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:1052468	Cymbilaimus lineatus	RO:0002453	Host of	EOL:515676	Amblyomma longirostre		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:327163	Coendou rothschildi	RO:0002453	Host of	EOL:515676	Amblyomma longirostre		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
EOL:1037712	Tayassu tajacu	RO:0002453	Host of	EOL:515023	Amblyomma oblongoguttatum		GEONAMES:3703430	Panama	9	-80		doi:10.5962/bhl.title.2633	Wenzel, Rupert L., and Vernon J. Tipton. Appendix: Classified List of Hosts and Parasites. Chicago, Ill.: Field Museum of Natural History, 1966.
